ID,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Be Somebody,Be Somebody,DanielwiththeBalance
2,Amelia,Amelia,cristian
3,Don't Fall Asleep,Don't Fall Asleep,Kyle Lucas
4,Follow,Follow,Adam French
5,i don't wanna let you go,i don't wanna let you go,SVMP
6,The Night We Met,The Night We Met,Kris Stevens
7,Guillotine,Guillotine,dansotall
8,yours,yours,townsend
9,i'm still missing,i'm still missing,S u n s e t L ø v e r
10,p.e.m.d.a.s.,all nighter,JPecs
11,Mistakes,Mistakes,dansotall
12,Wish I Never Met You,Wish I Never Met You,SUMMY
13,Float,Float,OLI
14,Please Take Me On,Please Take Me On,Skinny Atlas
15,Over You,Heart in the Streets,Baby Milo
16,Boys On Posters,Boys On Posters,Grace Grundy
17,You Say You Love Me But You Don't,Grown Up,Gorran
18,Let Me In,Let Me In,Kid Travis
19,what if you break my heart again,what if you break my heart again,Scott Quinn
20,Long Enough,Long Enough,Colours in the Street
21,Creep,Creep,ORYL
22,missing us,missing us,Valera
23,Six Feet Under,Six Feet Under,Billie Eilish
24,Maybe,Tell Me Things You Won't Take Back,Cate
25,LONELY ASS BITCH,LONELY ASS BITCH,Ally Ahern
26,Skies of Grey,Skies of Grey,Tessa Rae
27,Feel Alive,Feel Alive,RJ Thompson
28,L.A.,ARC 003,Verskotzi
29,WANT U BAD,WANT U BAD,Valera
30,letmego,letmego,Gina Livia
31,Note To Self,Note To Self,Stephen Stanley
32,Until I See You Again,Until I See You Again,C. SHIROCK
33,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
34,He Don't Like The Sun,He Don't Like The Sun,Alex McArtor
35,Heather,Kid Krow,Conan Gray
36,Chasing Shadows,The Conduit,Alicia Witt
37,Circles,Hollywood's Bleeding,Post Malone
38,Body First,Body First,Laura Bryna
39,Loosing Interest,Passion & Confusion,Timmies
40,Dark Side - Matthew Heath Remix,Dark Side (Matthew Heath Remix),JOLENE
41,Clocks,Clocks,Aidan Doran
42,High - Slowed + Reverb,High,ORYL
43,It's You,YOU,Ali Gatie
44,Bianca,Bianca,Antonio Pignatiello
45,Where Is My Mind?,Where Is My Mind?,ORYL
46,Better Now,Better Now,ORYL
47,Jocelyn Flores,17,XXXTENTACION
