,Name,Album,Artist
0,Calm Down,Calm Down,Rema
1,I'm Good (Blue),I'm Good (Blue),David Guetta
2,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic
3,DON'T YOU WORRY,DON'T YOU WORRY,Black Eyed Peas
4,Until I Found You,Easy On My Eyes,Stephen Sanchez
5,For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy
6,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone
7,Sunroof,Sunroof,Nicky Youre
8,Celestial,Celestial,Ed Sheeran
9,Body Language,Body Language,Bre Redbone Soul
10,Super Freaky Girl,Super Freaky Girl,Nicki Minaj
11,About Damn Time,About Damn Time,Lizzo
12,Summer Nights,Past Lives,Lee Isaacs
13,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello
14,The Motto,The Motto,Tiësto
15,Running,Running,Mason & Julez
16,golden hour,golden hour,JVKE
17,Light Switch,Light Switch,Charlie Puth
18,Late Night Talking,Harry's House,Harry Styles
19,Spell on Me,Spell on Me,Lee Isaacs
20,Million Dollar Baby,Million Dollar Baby,Ava Max
21,Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA
22,Remember Home,Remember Home,ELYAZ
23,Betty (Get Money),Betty (Get Money),Yung Gravy
24,Hold Me Closer,Hold Me Closer,Elton John
25,B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose
26,Give Me A Kiss,Give Me A Kiss,Crash Adams
27,Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco
28,UP,UP,INNA
29,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",Calvin Harris
30,Sweetest Pie,Sweetest Pie,Megan Thee Stallion
31,Numb,Numb,Marshmello
32,2 Be Loved (Am I Ready),Special,Lizzo
33,this is what falling in love feels like,this is what falling in love feels like,JVKE
34,That's Hilarious,That's Hilarious,Charlie Puth
35,AMAZING,AMAZING,Rex Orange County
36,2step (feat. Lil Baby),2step (feat. Lil Baby),Ed Sheeran
37,Lost Without You (with Dean Lewis),Lost Without You (with Dean Lewis),Kygo
38,Green Green Grass,Green Green Grass,George Ezra
39,Kiss Me,Songs of Sonder,Dermot Kennedy
40,Clap Your Hands,Clap Your Hands,Kungs
41,All 4 Nothing (I'm So In Love),All 4 Nothing (I'm So In Love),Lauv
42,Biutyful,Music Of The Spheres,Coldplay
43,Woke Up in Love,Woke Up in Love,Kygo
44,u & i,u & i,James Reid
45,Satellite,Harry's House,Harry Styles
46,Where Did You Go? (feat. MNEK),Where Did You Go (feat. MNEK),Jax Jones
47,W.I.T.C.H.,W.I.T.C.H.,Devon Cole
48,Come Around Again (feat. JC Stewart),Come Around Again (feat. JC Stewart),Armin van Buuren
49,Satellite,Satellite,Khalid
50,sun and moon,sun and moon,anees
51,We Could Be Together,We Could Be Together (feat. Daddy DJ),Gabry Ponte
52,Love Of My Life,Harry's House,Harry Styles
53,Deep Sea (with R3HAB),Deep Sea (with R3HAB),Minelli
54,Down,Down,Tujamo
55,Skyline,Skyline,Khalid
56,Lonely World,Lonely World,K-391
57,HISTORY,HISTORY,Joel Corry
58,Bigger Than Me,Bigger Than Me,Louis Tomlinson
59,Zoom,Zoom,Enisa
60,Heaven (feat. Lyodra),Heaven (feat. Lyodra),Calum Scott
61,IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),MAX
62,I F*cking Love You,I F*cking Love You,Zolita
63,Make You Say,Make You Say,Zedd
64,I Won't,I Won't,AJR
65,Sunshine,Sunshine,OneRepublic
66,Easy Lover (feat. Big Sean),Easy Lover (feat. Big Sean),Ellie Goulding
67,Stay the Night,Stay the Night,Sigala
68,Anyone For You (Tiger Lily),Anyone For You (Tiger Lily),George Ezra
69,Waking Up Dreaming,Waking Up Dreaming,Shania Twain
70,All She Wanna Do (with Saweetie),All She Wanna Do,John Legend
71,Young Right Now,Young Right Now,Robin Schulz
72,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo
73,Never Really Loved Me (with Dean Lewis),Never Really Loved Me (with Dean Lewis),Kygo
74,Long Drives,Long Drives,BoyWithUke
75,How Will I Know,How Will I Know,Whitney Houston
76,What Would You Do?,What Would You Do?,Joel Corry
77,To All The Boys I’ve Loved Before,To All The Boys I’ve Loved Before,Jax
78,Emily,Emily,James Arthur
79,Don’t Forget My Love,Diplo,Diplo
80,Sun Will Shine,Sun Will Shine,Robin Schulz
81,Symphony,Mercury - Acts 1 & 2,Imagine Dragons
82,Something to Someone,Something to Someone,Dermot Kennedy
83,Green Light (From “American Song Contest”),Green Light (From “American Song Contest”),Enisa
84,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift
85,Everything But You (feat. A7S),Everything But You (feat. A7S),Clean Bandit
86,Nonsense,emails i can't send,Sabrina Carpenter
87,This Hell,This Hell,Rina Sawayama
88,One Life,= (Tour Edition),Ed Sheeran
89,Flowers Need Rain,Flowers Need Rain,Preston Pablo
