,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Be Somebody,Be Somebody,DanielwiththeBalance
2,Amelia,Amelia,cristian
3,Don't Fall Asleep,Don't Fall Asleep,Kyle Lucas
4,Follow,Follow,Adam French
5,i don't wanna let you go,i don't wanna let you go,SVMP
6,The Night We Met,The Night We Met,Kris Stevens
7,Guillotine,Guillotine,dansotall
8,yours,yours,townsend
9,i'm still missing,i'm still missing,S u n s e t L ø v e r
10,p.e.m.d.a.s.,all nighter,JPecs
11,Mistakes,Mistakes,dansotall
12,exhale,exhale,Damien Sebe
13,Wish I Never Met You,Wish I Never Met You,SUMMY
14,Float,Float,OLI
15,Please Take Me On,Please Take Me On,Skinny Atlas
16,Over You,Heart in the Streets,Baby Milo
17,Boys On Posters,Boys On Posters,Grace Grundy
18,You Say You Love Me But You Don't,Grown Up,Gorran
19,Let Me In,Let Me In,Kid Travis
20,what if you break my heart again,what if you break my heart again,Scott Quinn
21,Long Enough,Long Enough,Colours in the Street
22,Creep,Creep,ORYL
23,missing us,missing us,Valera
24,Six Feet Under,Six Feet Under,Billie Eilish
25,Maybe,Tell Me Things You Won't Take Back,Cate
26,LONELY ASS BITCH,LONELY ASS BITCH,Ally Ahern
27,Skies of Grey,Skies of Grey,Tessa Rae
28,Feel Alive,Feel Alive,RJ Thompson
29,L.A.,ARC 003,Verskotzi
30,WANT U BAD,WANT U BAD,Valera
31,letmego,letmego,Gina Livia
32,Note To Self,Note To Self,Stephen Stanley
33,Until I See You Again,Until I See You Again,C. SHIROCK
34,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
35,He Don't Like The Sun,He Don't Like The Sun,Alex McArtor
36,Heather,Kid Krow,Conan Gray
37,Chasing Shadows,The Conduit,Alicia Witt
38,Circles,Hollywood's Bleeding,Post Malone
39,Body First,Body First,Laura Bryna
40,Loosing Interest,Passion & Confusion,Timmies
41,Dark Side - Matthew Heath Remix,Dark Side (Matthew Heath Remix),JOLENE
42,Clocks,Clocks,Aidan Doran
43,High - Slowed + Reverb,High,ORYL
44,It's You,YOU,Ali Gatie
45,Bianca,Bianca,Antonio Pignatiello
46,Where Is My Mind?,Where Is My Mind?,ORYL
47,Better Now,Better Now,ORYL
48,Jocelyn Flores,17,XXXTENTACION
49,All Alone,All Alone,Sølace
50,Everybody Dies In Their Nightmares,17,XXXTENTACION
51,Keep You Close,Keep You Close,ORYL
52,Forgive Yourself,Forgive Yourself,Caitlyn Scarlett
53,Heartbreak Anniversary,TAKE TIME,Giveon
54,idfc,deadroses,blackbear
55,Till Forever Falls Apart,Till Forever Falls Apart,Ashe
56,Another Night Alone,Another Night Alone,Rena Jones
57,Someone Like You,21,Adele
58,Train Wreck,Back from the Edge,James Arthur
59,bad ones,TOO YOUNG TO BE SAD,Tate McRae
60,XTC,XTC,Ella Doherty
61,Arcade,Small Town Boy (Track By Track),Duncan Laurence
62,Good Old Days,Good Old Days,Adeline V. Lopez
63,Tell Me Goodbye,Tell Me Goodbye,ORYL
64,Disappear,Disappear,Kid Travis
65,r u ok,TOO YOUNG TO BE SAD,Tate McRae
66,Happier,÷ (Deluxe),Ed Sheeran
67,7 Years,Lukas Graham,Lukas Graham
68,slower,slower,Tate McRae
69,drivers license,drivers license,Olivia Rodrigo
70,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber
71,Half A Man,A Place We Knew,Dean Lewis
72,1-800-273-8255,Everybody,Logic
73,Let It Go,Chaos And The Calm,James Bay
74,lovely (with Khalid),lovely (with Khalid),Billie Eilish
75,changes,?,XXXTENTACION
76,"i hate u, i love u (feat. olivia o'brien)",us,gnash
77,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
78,Kiss You,Kiss You,Steph Devine
79,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
80,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith
81,Love and Secrets,Love and Secrets,The New Starts Now
82,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding
83,High,High,ORYL
84,Be Alright,A Place We Knew,Dean Lewis
85,Can We Kiss Forever?,Can We Kiss Forever?,Kina
86,Say Something,Is There Anybody Out There?,A Great Big World
87,If The World Was Ending,If The World Was Ending,JP Saxe
88,my future,my future,Billie Eilish
89,Nude,In Rainbows,Radiohead
90,At My Worst,The Prelude,Pink Sweat$
91,Fix You,X&Y,Coldplay
92,XO,i think you think too much of me,EDEN
93,Coaster,American Teen,Khalid
94,Not About Angels,Not About Angels,Birdy
95,Let Her Go,All The Little Lights,Passenger
96,Save Your Tears,After Hours,The Weeknd
97,Breathe Me,Colour The Small One,Sia
98,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
99,Let You Down,Perception,NF
