,Name,Album,Artist
0,Anti-Hero,Midnights,Taylor Swift
1,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith
2,Rich Flex,Her Loss,Drake
3,Major Distribution,Her Loss,Drake
4,Pussy & Millions (feat. Travis Scott),Her Loss,Drake
5,I'm Good (Blue),I'm Good (Blue),David Guetta
6,La Bachata,La Bachata,Manuel Turizo
7,As It Was,Harry's House,Harry Styles
8,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
9,Midnight Rain,Midnights,Taylor Swift
10,Lavender Haze,Midnights,Taylor Swift
11,On BS,Her Loss,Drake
12,Under The Influence,Indigo (Extended),Chris Brown
13,Circo Loco,Her Loss,Drake
14,Snow On The Beach (feat. Lana Del Rey),Midnights,Taylor Swift
15,Maroon,Midnights,Taylor Swift
16,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic
17,Spin Bout U,Her Loss,Drake
18,Miss You,Miss You,Oliver Tree
19,"You're On Your Own, Kid",Midnights,Taylor Swift
20,Die For You,SMITHEREENS,Joji
21,Privileged Rappers,Her Loss,Drake
22,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny
23,Bejeweled,Midnights,Taylor Swift
24,Karma,Midnights,Taylor Swift
25,Bad Habit,Gemini Rights,Steve Lacy
26,Another Love,Long Way Down,Tom Odell
27,Glimpse of Us,SMITHEREENS,Joji
28,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny
29,BackOutsideBoyz,Her Loss,Drake
30,Hey Mor,OzuTochi,Ozuna
31,Broke Boys,Her Loss,Drake
32,CUFF IT,RENAISSANCE,Beyoncé
33,Monotonía,Monotonía,Shakira
34,Until I Found You,Easy On My Eyes,Stephen Sanchez
35,Romantic Homicide,Romantic Homicide,d4vd
36,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
37,DESPECHÁ,MOTOMAMI +,ROSALÍA
38,Efecto,Un Verano Sin Ti,Bad Bunny
39,Vigilante Shit,Midnights,Taylor Swift
40,Made You Look,Takin' It Back,Meghan Trainor
41,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema
42,Question...?,Midnights,Taylor Swift
43,Die For You,Starboy,The Weeknd
44,SNAP,SNAP PACK,Rosa Linn
45,golden hour,this is what ____ feels like (Vol. 1-4),JVKE
46,Hours In Silence,Her Loss,Drake
47,Sweater Weather,I Love You.,The Neighbourhood
48,Shirt,Shirt,SZA
49,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny
